"","Age","trial.mm","AIC","AICc","conv"
"1","1.3",1,1424.92909609613,1429.92740975549,0
"2","1.3",2,1332.5273145278,1343.62992322346,0
"3","1.3",3,1324.23430087753,1343.59630804599,0
"4","1.3",4,1336.61642207686,1366.17361764882,10
"5","1.3",5,1340.38439539452,1381.82652063171,10
"6","1.3",6,1352.72687565884,1407.47151503506,10
