"","Age","trial.mm","AIC","AICc","conv"
"1","2.2",1,550.085469451524,552.65231437131,0
"2","2.2",2,545.029188676298,550.65141089852,0
"3","2.2",3,542.885063029059,552.218396362392,0
"4","2.2",4,552.617304236657,565.895410745533,10
"5","2.2",5,560.632794045547,577.675218287971,10
"6","2.2",6,566.623892785267,586.870806365514,10
