"","Age","trial.mm","AIC","AICc","conv"
"1","1.2",1,1563.22606475982,1567.69974897035,0
"2","1.2",2,1441.0618743119,1450.94559524213,0
"3","1.2",3,1445.28888067712,1462.41462918011,0
"4","1.2",4,1454.18245996917,1480.13728543118,0
"5","1.2",5,1467.96128075746,1504.06254658025,10
