"","Age","trial.mm","AIC","AICc","conv"
"1","2.3",1,75.3193921806746,76.2793921806746,0
"2","2.3",2,0,0,0
"3","2.3",3,0,0,0
"4","2.3",4,0,0,0
"5","2.3",5,0,0,0
"6","2.3",6,0,0,0
